OBJECTID,rotacja,sym,sym_w,X,Y
156,59,2,20,564739.747399999992922,245103.168999999994412
157,354,3,18,564743.681899999966845,245102.302399999985937
158,28,2,27,564710.068899999954738,245069.028499999985797
159,181,2,29,564920.825300000025891,245075.828100000013364
160,258,2,26,565007.055300000007264,244956.947400000004563
161,97,1,30,564947.808700000052340,244972.093599999992875
162,127,4,19,564950.807400000048801,244967.843800000002375
163,146,3,30,564953.144699999946170,244972.588500000012573
164,170,4,28,565660.728899999987334,244622.072799999994459
165,1,3,15,565657.784600000013597,244621.473700000002282
166,220,3,20,565957.052499999990687,244755.913900000014110
167,287,1,21,565962.047499999986030,244750.902200000011362
168,188,3,16,565969.597799999988638,244741.415600000007544
169,54,3,18,566036.000200000009499,244719.290100000012899
170,201,1,18,566044.754700000048615,244715.413200000009965
171,153,4,28,564452.789400000008754,245155.210599999991246
172,91,3,19,564918.146999999997206,244938.327799999999115
173,12,3,15,564922.750600000028498,244938.559000000008382
174,358,4,29,564914.329099999973550,244972.724400000006426
175,60,3,27,564521.568800000008196,244916.084299999987707
176,226,3,21,564524.497699999948964,244910.372499999997672
177,310,1,24,564540.795500000007451,244965.314899999997579
178,351,1,24,564541.117199999978766,244979.708899999997811
179,311,1,28,564479.750499999965541,244669.626300000003539
180,25,3,25,564663.998900000005960,244897.831500000000233
181,33,3,17,564909.797600000048988,245068.168999999994412
182,134,2,18,565682.048100000014529,244672.205599999986589
183,43,1,24,565683.697500000009313,244677.304600000003120
184,285,4,18,565685.315300000016578,244681.980699999985518
185,85,2,29,565686.924400000018068,244686.786499999987427
186,61,4,21,565677.367599999997765,244698.701899999985471
187,77,3,19,564534.855400000000373,244675.433900000003632
188,117,2,23,564530.658900000038557,244675.581700000009732
189,217,4,30,564525.919200000003912,244675.913299999985611
190,258,3,22,564522.376799999969080,244676.015000000013970
191,32,1,25,564511.232599999988452,244673.591199999995297
192,57,1,29,564508.638799999956973,244673.736899999988964
193,210,2,29,564505.337700000032783,244673.824900000006892
194,136,3,18,564502.536500000045635,244673.926500000001397
195,209,3,15,564494.289299999945797,244673.991600000008475
196,63,2,26,564540.671800000010990,244715.888399999996182
197,16,4,30,564544.769899999955669,244721.212399999989429
198,284,2,16,564543.898000000044703,244729.095999999990454
199,313,1,17,564541.903199999942444,244740.709899999987101
200,292,1,30,564542.157699999981560,244742.730099999986123
201,141,2,20,564549.172299999976531,244743.864000000001397
202,29,2,27,564576.549800000037067,244750.476800000004005
203,91,1,21,565121.521700000041164,244791.878100000001723
204,245,1,20,565126.378600000054576,244790.252500000002328
205,295,4,21,565610.123799999943003,244803.739800000010291
206,137,3,25,565616.854999999981374,244805.215100000001257
207,115,1,23,565617.345199999981560,244812.058799999998882
208,189,4,22,565614.040700000012293,244796.892800000001444
209,136,2,26,565621.044899999978952,244816.755100000009406
210,314,3,21,565620.027899999986403,244821.293700000009267
211,189,4,22,565630.997500000055879,244843.246099999989383
212,85,4,27,565654.825199999962933,244851.111999999993714
213,139,4,22,565649.870499999960884,244827.441699999995762
214,281,3,17,565828.380000000004657,244795.916399999987334
215,111,3,15,565820.553799999994226,244798.353499999997439
216,305,3,26,565844.001900000032037,244799.964100000011967
217,263,2,24,565847.385000000009313,244799.551100000011502
218,196,2,25,565845.618099999963306,244797.829499999992549
219,275,4,24,565849.395499999984168,244798.104200000001583
220,81,2,30,566084.196600000024773,244627.590999999985797
221,236,1,24,566091.241599999950267,244629.908800000004703
222,184,4,15,566078.964900000020862,244629.872499999997672
223,329,1,20,566079.609199999948032,244625.068399999989197
224,127,3,21,566097.293700000038370,244593.018699999985984
225,217,4,15,566092.952500000013970,244570.351200000004610
226,166,4,22,566092.560700000030920,244567.991199999989476
227,262,2,20,566091.898700000019744,244566.964999999996508
228,338,2,17,566091.132300000055693,244566.001900000002934
229,220,3,30,566089.686299999943003,244561.482599999988452
230,105,4,21,566081.598499999963678,244528.692199999990407
231,305,3,20,566081.660900000017136,244525.090800000005402
232,77,3,25,566081.962599999969825,244523.438599999994040
233,326,2,17,566082.375000000000000,244522.224400000006426
234,50,3,26,566082.338100000051782,244520.839799999987008
235,52,4,18,566081.953499999945052,244519.561900000000605
236,264,2,23,566076.460599999991246,244499.270699999993667
237,69,4,19,566103.785999999963678,244602.940999999991618
238,101,3,21,564912.322799999965355,244911.094500000006519
239,63,1,19,564634.570100000011735,245093.565600000001723
240,345,3,21,564637.235100000048988,245103.209899999987101
241,97,2,18,564637.653000000049360,245107.114100000006147
242,40,4,16,564640.038500000024214,245113.774999999994179
243,192,1,30,564642.199999999953434,245120.340700000000652
244,163,3,24,564636.878099999972619,245127.673999999999069
245,157,4,15,564597.210300000035204,245135.937199999985751
246,193,4,30,564605.526599999982864,245134.103999999992084
247,91,4,20,564608.772099999943748,245133.651699999987613
248,190,2,24,564617.317900000023656,245131.533599999995204
249,127,4,27,564627.402899999986403,245129.909799999993993
250,10,2,26,564664.404199999989942,244903.407500000001164
251,92,2,20,564663.397600000025705,244885.652100000006612
252,32,2,20,564593.518299999996088,244573.032600000005914
253,307,3,25,564740.981600000057369,245109.822400000004563
254,272,2,24,564593.268000000040047,244572.735300000000279
255,332,2,30,565773.586400000029244,244622.639100000000326
256,205,4,23,565776.092500000027940,244619.783300000010058
257,109,4,18,565779.004199999966659,244618.637500000011642
258,360,1,22,565905.388200000044890,244634.427800000004936
259,310,4,22,565895.033399999956600,244624.154899999994086
260,250,4,27,565897.915400000056252,244621.815200000011828
261,19,2,17,565893.616799999959767,244616.197199999995064
262,88,4,22,565891.511799999978393,244606.861000000004424
263,340,3,15,565601.860400000005029,244868.384300000005169
264,345,4,26,565604.358899999991991,244864.896999999997206
265,198,4,18,565607.013599999947473,244866.968900000007125
266,74,1,25,565611.783799999975599,244866.779600000008941
267,229,3,18,565616.608600000035949,244866.373699999996461
268,196,4,16,565605.690700000035577,244861.781799999997020
269,235,3,28,565609.205300000030547,244860.456299999990733
270,52,1,16,565612.432900000014342,244860.864100000006147
271,258,4,27,565613.656899999943562,244858.753200000006473
272,215,4,26,565621.853899999987334,244855.569900000002235
273,283,1,29,565977.747500000055879,244755.425900000002002
274,270,1,23,565402.698300000047311,244819.975199999986216
275,158,4,19,565403.522499999962747,244820.080900000000838
276,202,4,21,565403.270900000003166,244821.435999999986961
277,136,4,24,565405.615899999975227,244830.628200000006473
278,331,4,29,565406.020299999974668,244832.207800000003772
279,72,2,19,565392.480400000000373,244865.919099999999162
280,167,1,22,565360.946200000005774,244890.214600000006612
